"listing_id","avg_sentiment","review_count","complaint_counts","top_complaint","top_complaint_n","example_snippet","complaint_snippets"
"714492417553225887","0.11686037735849057","53","{""cleanliness"": 1}","cleanliness","1.0","Lage ist in einem typischen Industriegebiet, daher war Uber empfehlenswert, unkompliziert und preiswert.","{""cleanliness"": ""Lage ist in einem typischen Industriegebiet, daher war Uber empfehlenswert, unkompliziert und preiswert.""}"
"714827412754716675","0.15012880434782608","184","","","","",""
"714865258567521049","0.1981392857142857","28","","","","",""
"714873964985994066","0.705375","16","","","","",""
"714925888282333438","0.059533333333333334","12","{""maintenance"": 2, ""communication"": 1, ""cleanliness"": 1}","maintenance","2.0","TV cable was not working, electricity would go off all the time, so maintenance had to fix things.","{""maintenance"": ""TV cable was not working, electricity would go off all the time, so maintenance had to fix things."", ""communication"": ""Communication was terribly slow, often unresponsive during reservation."", ""cleanliness"": ""And there is mold on the ceiling in the bathroom.""}"
"714935609199005633","0.3596875","8","","","","",""
"715040167750749463","0.1596858695652174","92","{""noise"": 2, ""maintenance"": 2}","noise","2.0","The noise is not that problematic but is there.","{""noise"": ""The noise is not that problematic but is there."", ""maintenance"": ""The downside for us was a fail in the shower box that had the water drainage blocked and a bad leak in the shower hose.""}"
"715047869365794387","0.10552698412698412","63","","","","",""
"715056498933613908","0.18710989010989013","91","{""comfort"": 1, ""accuracy"": 2, ""maintenance"": 1}","accuracy","2.0","Nous avons passé un agréable séjour, chambre propre tout correspondait au photos.","{""comfort"": ""The pillow is extremely uncomfortable!"", ""accuracy"": ""Nous avons pass\u00e9 un agr\u00e9able s\u00e9jour, chambre propre tout correspondait au photos."", ""maintenance"": ""\u00c0 l'arriv\u00e9e, pas de cl\u00e9 dans le Locker !!Josefa ne s'est pas d\u00e9rang\u00e9e malgr\u00e9 mes messages inquiets J'ai d\u00fb attendre sa femme de m\u00e9nage pendant 1 heure sous la pluie.""}"
"715104147479801357","0.2705076923076923","130","{""wifi"": 1, ""accuracy"": 1}","wifi","1.0","El WIFI ok, pero el TV no está conectado a la red, por tanto solo TV local.","{""wifi"": ""El WIFI ok, pero el TV no est\u00e1 conectado a la red, por tanto solo TV local."", ""accuracy"": ""L\u2019appartement \u00e9tait impeccable \u00e0 notre arriv\u00e9e et conforme aux photos.""}"
"715107196442419336","0.3666721804511278","133","","","","",""
"715151911986935944","0.48568968253968253","126","{""wifi"": 1}","wifi","1.0","V izbe sa nachádza všetko potrebné a wifi funguje bezchybne.","{""wifi"": ""V izbe sa nach\u00e1dza v\u0161etko potrebn\u00e9 a wifi funguje bezchybne.""}"
"715155545435593281","0.36334074074074074","27","","","","",""
